Weight,Calories,Protein,Fats,Carbohydrates
285,3135,399,68.97,229.5675
286,3146,400.4,69.212,230.373
287,3157,401.8,69.454,231.1785
288,3168,403.2,69.696,231.984
289,3179,404.6,69.938,232.7895
290,3190,406,70.18,233.595
291,3201,407.4,70.422,234.4005
292,3212,408.8,70.664,235.206
293,3223,410.2,70.906,236.0115
294,3234,411.6,71.148,236.817
295,3245,413,71.39,237.6225
296,3256,414.4,71.632,238.428
297,3267,415.8,71.874,239.2335
298,3278,417.2,72.116,240.039
299,3289,418.6,72.358,240.8445
300,3300,420,72.6,241.65
301,3311,421.4,72.842,242.4555
302,3322,422.8,73.084,243.261
303,3333,424.2,73.326,244.0665
304,3344,425.6,73.568,244.872
305,3355,427,73.81,245.6775
306,3366,428.4,74.052,246.483
307,3377,429.8,74.294,247.2885
308,3388,431.2,74.536,248.094
309,3399,432.6,74.778,248.8995
310,3410,434,75.02,249.705
311,3421,435.4,75.262,250.5105
312,3432,436.8,75.504,251.316
313,3443,438.2,75.746,252.1215
314,3454,439.6,75.988,252.927
315,3465,441,76.23,253.7325
316,3476,442.4,76.472,254.538
317,3487,443.8,76.714,255.3435
318,3498,445.2,76.956,256.149
319,3509,446.6,77.198,256.9545
320,3520,448,77.44,257.76
321,3531,449.4,77.682,258.5655
322,3542,450.8,77.924,259.371
323,3553,452.2,78.166,260.1765
324,3564,453.6,78.408,260.982
325,3575,455,78.65,261.7875
326,3586,456.4,78.892,262.593
327,3597,457.8,79.134,263.3985
328,3608,459.2,79.376,264.204
329,3619,460.6,79.618,265.0095
330,3630,462,79.86,265.815
331,3641,463.4,80.102,266.6205
332,3652,464.8,80.344,267.426
333,3663,466.2,80.586,268.2315
334,3674,467.6,80.828,269.037
335,3685,469,81.07,269.8425
336,3696,470.4,81.312,270.648
337,3707,471.8,81.554,271.4535
338,3718,473.2,81.796,272.259
339,3729,474.6,82.038,273.0645
340,3740,476,82.28,273.87
341,3751,477.4,82.522,274.6755
342,3762,478.8,82.764,275.481
343,3773,480.2,83.006,276.2865
344,3784,481.6,83.248,277.092
345,3795,483,83.49,277.8975
346,3806,484.4,83.732,278.703
347,3817,485.8,83.974,279.5085
348,3828,487.2,84.216,280.314
349,3839,488.6,84.458,281.1195
350,3850,490,84.7,281.925
351,3861,491.4,84.942,282.7305
352,3872,492.8,85.184,283.536
353,3883,494.2,85.426,284.3415
354,3894,495.6,85.668,285.147
355,3905,497,85.91,285.9525
356,3916,498.4,86.152,286.758
357,3927,499.8,86.394,287.5635
358,3938,501.2,86.636,288.369
359,3949,502.6,86.878,289.1745
360,3960,504,87.12,289.98
361,3971,505.4,87.362,290.7855
362,3982,506.8,87.604,291.591
363,3993,508.2,87.846,292.3965
364,4004,509.6,88.088,293.202
365,4015,511,88.33,294.0075
366,4026,512.4,88.572,294.813
367,4037,513.8,88.814,295.6185
368,4048,515.2,89.056,296.424
369,4059,516.6,89.298,297.2295
370,4070,518,89.54,298.035
371,4081,519.4,89.782,298.8405
372,4092,520.8,90.024,299.646
373,4103,522.2,90.266,300.4515
374,4114,523.6,90.508,301.257
375,4125,525,90.75,302.0625
376,4136,526.4,90.992,302.868
377,4147,527.8,91.234,303.6735
378,4158,529.2,91.476,304.479
379,4169,530.6,91.718,305.2845
380,4180,532,91.96,306.09
381,4191,533.4,92.202,306.8955
382,4202,534.8,92.444,307.701
383,4213,536.2,92.686,308.5065
384,4224,537.6,92.928,309.312
385,4235,539,93.17,310.1175
386,4246,540.4,93.412,310.923
387,4257,541.8,93.654,311.7285
388,4268,543.2,93.896,312.534
389,4279,544.6,94.138,313.3395
390,4290,546,94.38,314.145
391,4301,547.4,94.622,314.9505
392,4312,548.8,94.864,315.756
393,4323,550.2,95.106,316.5615
394,4334,551.6,95.348,317.367
395,4345,553,95.59,318.1725
396,4356,554.4,95.832,318.978
397,4367,555.8,96.074,319.7835
398,4378,557.2,96.316,320.589
399,4389,558.6,96.558,321.3945
400,4400,560,96.8,322.2
401,4411,561.4,97.042,323.0055
402,4422,562.8,97.284,323.811
403,4433,564.2,97.526,324.6165
404,4444,565.6,97.768,325.422
405,4455,567,98.01,326.2275
406,4466,568.4,98.252,327.033
407,4477,569.8,98.494,327.8385
408,4488,571.2,98.736,328.644
409,4499,572.6,98.978,329.4495
410,4510,574,99.22,330.255
411,4521,575.4,99.462,331.0605
412,4532,576.8,99.704,331.866
413,4543,578.2,99.946,332.6715
414,4554,579.6,100.188,333.477
415,4565,581,100.43,334.2825
416,4576,582.4,100.672,335.088
417,4587,583.8,100.914,335.8935
418,4598,585.2,101.156,336.699
419,4609,586.6,101.398,337.5045
420,4620,588,101.64,338.31
421,4631,589.4,101.882,339.1155
422,4642,590.8,102.124,339.921
423,4653,592.2,102.366,340.7265
424,4664,593.6,102.608,341.532
425,4675,595,102.85,342.3375
426,4686,596.4,103.092,343.143
427,4697,597.8,103.334,343.9485
428,4708,599.2,103.576,344.754
429,4719,600.6,103.818,345.5595
430,4730,602,104.06,346.365
431,4741,603.4,104.302,347.1705
432,4752,604.8,104.544,347.976
433,4763,606.2,104.786,348.7815
434,4774,607.6,105.028,349.587
435,4785,609,105.27,350.3925
436,4796,610.4,105.512,351.198
437,4807,611.8,105.754,352.0035
438,4818,613.2,105.996,352.809
439,4829,614.6,106.238,353.6145
440,4840,616,106.48,354.42
441,4851,617.4,106.722,355.2255
442,4862,618.8,106.964,356.031
443,4873,620.2,107.206,356.8365
444,4884,621.6,107.448,357.642
445,4895,623,107.69,358.4475
446,4906,624.4,107.932,359.253
447,4917,625.8,108.174,360.0585
448,4928,627.2,108.416,360.864
449,4939,628.6,108.658,361.6695
450,4950,630,108.9,362.475
451,4961,631.4,109.142,363.2805
452,4972,632.8,109.384,364.086
453,4983,634.2,109.626,364.8915
454,4994,635.6,109.868,365.697
455,5005,637,110.11,366.5025
456,5016,638.4,110.352,367.308
457,5027,639.8,110.594,368.1135
458,5038,641.2,110.836,368.919
459,5049,642.6,111.078,369.7245
460,5060,644,111.32,370.53
461,5071,645.4,111.562,371.3355
462,5082,646.8,111.804,372.141
463,5093,648.2,112.046,372.9465
464,5104,649.6,112.288,373.752
465,5115,651,112.53,374.5575
466,5126,652.4,112.772,375.363
467,5137,653.8,113.014,376.1685
468,5148,655.2,113.256,376.974
469,5159,656.6,113.498,377.7795
470,5170,658,113.74,378.585
471,5181,659.4,113.982,379.3905
472,5192,660.8,114.224,380.196
473,5203,662.2,114.466,381.0015
474,5214,663.6,114.708,381.807
475,5225,665,114.95,382.6125
476,5236,666.4,115.192,383.418
477,5247,667.8,115.434,384.2235
478,5258,669.2,115.676,385.029
479,5269,670.6,115.918,385.8345
480,5280,672,116.16,386.64
481,5291,673.4,116.402,387.4455
482,5302,674.8,116.644,388.251
483,5313,676.2,116.886,389.0565
484,5324,677.6,117.128,389.862
485,5335,679,117.37,390.6675
486,5346,680.4,117.612,391.473
487,5357,681.8,117.854,392.2785
488,5368,683.2,118.096,393.084
489,5379,684.6,118.338,393.8895
490,5390,686,118.58,394.695
491,5401,687.4,118.822,395.5005
492,5412,688.8,119.064,396.306
493,5423,690.2,119.306,397.1115
494,5434,691.6,119.548,397.917
495,5445,693,119.79,398.7225
496,5456,694.4,120.032,399.528
497,5467,695.8,120.274,400.3335
498,5478,697.2,120.516,401.139
499,5489,698.6,120.758,401.9445
500,5500,700,121,402.75
