Weight,Calories,Protein,Fats,Carbohydrates
285,4845,399,106.59,572.4225
286,4862,400.4,106.964,574.431
287,4879,401.8,107.338,576.4395
288,4896,403.2,107.712,578.448
289,4913,404.6,108.086,580.4565
290,4930,406,108.46,582.465
291,4947,407.4,108.834,584.4735
292,4964,408.8,109.208,586.482
293,4981,410.2,109.582,588.4905
294,4998,411.6,109.956,590.499
295,5015,413,110.33,592.5075
296,5032,414.4,110.704,594.516
297,5049,415.8,111.078,596.5245
298,5066,417.2,111.452,598.533
299,5083,418.6,111.826,600.5415
300,5100,420,112.2,602.55
301,5117,421.4,112.574,604.5585
302,5134,422.8,112.948,606.567
303,5151,424.2,113.322,608.5755
304,5168,425.6,113.696,610.584
305,5185,427,114.07,612.5925
306,5202,428.4,114.444,614.601
307,5219,429.8,114.818,616.6095
308,5236,431.2,115.192,618.618
309,5253,432.6,115.566,620.6265
310,5270,434,115.94,622.635
311,5287,435.4,116.314,624.6435
312,5304,436.8,116.688,626.652
313,5321,438.2,117.062,628.6605
314,5338,439.6,117.436,630.669
315,5355,441,117.81,632.6775
316,5372,442.4,118.184,634.686
317,5389,443.8,118.558,636.6945
318,5406,445.2,118.932,638.703
319,5423,446.6,119.306,640.7115
320,5440,448,119.68,642.72
321,5457,449.4,120.054,644.7285
322,5474,450.8,120.428,646.737
323,5491,452.2,120.802,648.7455
324,5508,453.6,121.176,650.754
325,5525,455,121.55,652.7625
326,5542,456.4,121.924,654.771
327,5559,457.8,122.298,656.7795
328,5576,459.2,122.672,658.788
329,5593,460.6,123.046,660.7965
330,5610,462,123.42,662.805
331,5627,463.4,123.794,664.8135
332,5644,464.8,124.168,666.822
333,5661,466.2,124.542,668.8305
334,5678,467.6,124.916,670.839
335,5695,469,125.29,672.8475
336,5712,470.4,125.664,674.856
337,5729,471.8,126.038,676.8645
338,5746,473.2,126.412,678.873
339,5763,474.6,126.786,680.8815
340,5780,476,127.16,682.89
341,5797,477.4,127.534,684.8985
342,5814,478.8,127.908,686.907
343,5831,480.2,128.282,688.9155
344,5848,481.6,128.656,690.924
345,5865,483,129.03,692.9325
346,5882,484.4,129.404,694.941
347,5899,485.8,129.778,696.9495
348,5916,487.2,130.152,698.958
349,5933,488.6,130.526,700.9665
350,5950,490,130.9,702.975
351,5967,491.4,131.274,704.9835
352,5984,492.8,131.648,706.992
353,6001,494.2,132.022,709.0005
354,6018,495.6,132.396,711.009
355,6035,497,132.77,713.0175
356,6052,498.4,133.144,715.026
357,6069,499.8,133.518,717.0345
358,6086,501.2,133.892,719.043
359,6103,502.6,134.266,721.0515
360,6120,504,134.64,723.06
361,6137,505.4,135.014,725.0685
362,6154,506.8,135.388,727.077
363,6171,508.2,135.762,729.0855
364,6188,509.6,136.136,731.094
365,6205,511,136.51,733.1025
366,6222,512.4,136.884,735.111
367,6239,513.8,137.258,737.1195
368,6256,515.2,137.632,739.128
369,6273,516.6,138.006,741.1365
370,6290,518,138.38,743.145
371,6307,519.4,138.754,745.1535
372,6324,520.8,139.128,747.162
373,6341,522.2,139.502,749.1705
374,6358,523.6,139.876,751.179
375,6375,525,140.25,753.1875
376,6392,526.4,140.624,755.196
377,6409,527.8,140.998,757.2045
378,6426,529.2,141.372,759.213
379,6443,530.6,141.746,761.2215
380,6460,532,142.12,763.23
381,6477,533.4,142.494,765.2385
382,6494,534.8,142.868,767.247
383,6511,536.2,143.242,769.2555
384,6528,537.6,143.616,771.264
385,6545,539,143.99,773.2725
386,6562,540.4,144.364,775.281
387,6579,541.8,144.738,777.2895
388,6596,543.2,145.112,779.298
389,6613,544.6,145.486,781.3065
390,6630,546,145.86,783.315
391,6647,547.4,146.234,785.3235
392,6664,548.8,146.608,787.332
393,6681,550.2,146.982,789.3405
394,6698,551.6,147.356,791.349
395,6715,553,147.73,793.3575
396,6732,554.4,148.104,795.366
397,6749,555.8,148.478,797.3745
398,6766,557.2,148.852,799.383
399,6783,558.6,149.226,801.3915
